user_id,phone_number,name,street_address,city,country,job,sex,birthdate
oe_1680956418541,693 366 502,Antoni Budner,pl. Wiejska 658,Kampinos,Poland,Redaktor,F,1947-10-13
oe_8272913675916,0269 491 532,Alexandru Florea,Soseaua Tomescu Nr. 21 Bl. 40  Sc. 28 Ap. 652,Huşi,Romania,Operator Descleietor Textile,M,2008-09-15
oe_9276398523818,+34848 89 36 32,Reinaldo Donoso Cánovas,Pasadizo de Alfonso Tejera 5 Apt. 35 ,Montbrió del Camp,Spain,Mecánico-montador de instalaciones de refrigeración y climatización,M,2009-01-28
oe_0967451363659,+39 3714504172,Dott. Angelo Bazzi,"Contrada Donato, 17",Moraire,Italy,Clinical research associate,M,1932-04-28
oe_4999703204347,+34882 334 421,Francisco Vallejo Redondo,Acceso de Blas Arrieta 5,Formentera de Segura,Spain,Organizador de conferencias y eventos,M,2016-11-10
oe_8593918536205,0557493392,Lucie Antoine,"6, rue Antoinette Dumas",Sury-près-Léré,France,actuaire,F,1948-03-26
oe_0498671101877,+34 713 32 57 04,Dalila Seguí Lillo,Plaza Abigaíl Hidalgo 74 Puerta 6 ,Cabecicos,Spain,Peón de explotaciones ganaderas,F,1994-01-05
oe_1902060713693,+33 (0)5 35 05 22 14,Dominique Lefèvre,"86, rue de Bouvet",Goetzenbruck,France,directeur d'hôtel,F,2014-08-13
oe_2524777744496,0545930464,Lucie Renaud-Denis,avenue Petit,Port-Sainte-Foy-et-Ponchapt,France,ingénieur en automatismes,F,2014-05-06
oe_9496454959578,+34828273174,Matilde Gallo Monreal,Via de Benigna Granados 52,Lucena,Spain,Gerente de hoteles o restaurantes,F,1967-05-06
oe_1434869653715,081310520,Piergiuseppe Barillaro-Cheda,"Piazza Gabriella, 40 Piano 7",Rolo,Italy,Veterinary surgeon,M,1989-08-30
oe_1750241300788,0758755850,Dipl.-Ing. Franz-Josef Scholtz,Laurenz-Käster-Gasse 9,Haßmersheim,Germany,Pfleger,M,1917-03-08
oe_4931645982437,+48 660 470 407,Julian Buchholz,aleja Owocowa 87,Łobodno,Poland,Dyrektor kreatywny,M,1934-11-02
oe_1365329856849,05 81 70 70 60,Christiane Martins,chemin Alexandria Perrin,Sury-près-Léré,France,agent de transit,F,1969-01-09
oe_1541766045689,+49(0) 911645767,Ria Nerger B.A.,Köhlerallee 6/6,Mansfeld,Germany,Mechaniker,F,1976-07-02
oe_0654885587552,0327296151,Émile de la Carlier,"86, chemin Cécile Neveu",Bagnères-de-Luchon,France,"inspecteur des douanes, des finances publiques ou du travail",M,1999-10-28
oe_2038721215190,3510562442,Calogero Armani,"Incrocio Martino, 6",Tolentino,Italy,Animator,M,1916-02-24
oe_2757355481471,+39 351266615,Giampiero Perini,"Via Scandone, 12",Bivigliano,Italy,Environmental education officer,M,2022-08-15
oe_8571093385300,519 006 325,Borys Jędrak,pl. Krańcowa 546,Rakowice Wielkie,Poland,Dyplomata,F,1972-08-22
oe_3723766041426,783 029 708,Blanka Graś,ulica Nadbrzeżna 29,Gdynia (Dąbrowa),Poland,Redaktor naukowy,M,1979-05-15
oe_5925629726692,0256 257 273,Mădălina Popescu,Drumul Axinte Stan Nr. 17 Bl. 57  Sc. 52 Ap. 733,Ploieşti,Romania,Manager De Securitate,F,1940-01-18
oe_5231336314098,+39 0302702317,Vittoria Finotto-Longhena,"Via Donna, 9",Rivignano,Italy,IT consultant,F,2000-04-23
oe_2762520213116,738 954 283,Gabriela Bláhová,Na Náspu 20,Liberec (Jeřáb),Czech Republic,Product designer,F,1968-02-06
oe_3784679700830,(07644) 05835,Sandra Blümel-Mende,Dennis-Ortmann-Platz 2/7,Haßmersheim,Germany,Designer,F,1953-05-14
oe_4960170921764,0169770223,Thibaut Evrard,"5, chemin de Rolland",Caudry,France,juge des contentieux de la protection,M,1971-09-27
oe_5334062016633,32801421535,Stefania Pedersoli,"Borgo Pietrangeli, 38",Bivigliano,Italy,Ambulance person,F,2017-06-30
oe_4518347923057,02453 10812,Beatrice Gerlach,Jacobplatz 8/6,Dortmund (Huckarde),Germany,Augenoptiker,F,1918-11-10
oe_4246073723861,0443528599,Martine Gosselin,"85, avenue de Benoit",Auvers-Saint-Georges,France,responsable biométrie,F,1924-12-13
oe_2264418024594,+34 818 59 35 65,Rafael Feliciano Soriano Montero,Rambla de Nicolasa Lloret 87,La Línea de la Concepción,Spain,Profesional de nivel medio del derecho y servicios legales,M,1930-02-16
oe_4085206334611,04 11 73 72 82,Isabelle Legros du Pages,"45, rue de Jacquot",Voulangis,France,technico-commercial en agroalimentaire,F,1934-10-26
oe_1102693955330,09233 31351,Hans-Jochen Stoll,Kallertweg 702,Welsleben,Germany,Binnenschiffer,M,1928-07-31
oe_7855470189779,+48 785 014 670,pani Sandra Przybyś,aleja Szarych Szeregów 50,Goczałkowice-Zdrój,Poland,Aktor głosowy,M,1994-04-27
oe_5955161133956,+39 0422245186,Rosario Antonacci,"Vicolo Dionigi, 892 Piano 9",Santa Croce Camerina,Italy,Secondary school teacher,M,1991-10-01
oe_2984104003273,+39 0434248276,Veronica Gregori,"Canale Liliana, 25 Appartamento 0",Quattro Castella,Italy,Television floor manager,F,1924-06-10
oe_5249489185298,+49(0) 882015149,Rosalia Austermühle B.Sc.,Ortmannstraße 9,Göda,Germany,Bäcker,F,1937-09-26
oe_8811209966763,02037 344836,Carl-Heinz Jopich B.Eng.,Neureuthergasse 1/9,Appenweier (Urloffen),Germany,Informatiker,M,1986-03-31
oe_0738854673474,0261 693 908,Timotei Stoica,Strada Lia Diaconescu Nr. 896 Bl. 48  Sc. 13 Ap. 621,Topolița,Romania,Grefier,M,1934-01-26
oe_3293970266382,+34671548185,Remigio Solana Baró,Urbanización Paloma Calzada 8,Cabecicos,Spain,Árbitro deportivo,M,1948-03-18
oe_8825269901851,32 115 67 33,Andrzej Kubiaczyk,ul. Myśliwska 646,Częstochowa,Poland,Architekt wnętrz,F,2019-06-14
oe_2427161862869,(0476)-237038,Elias Klerks,Vincentsteeg 2,Keldonk,Netherlands,"Teacher, English as a foreign language",F,1927-06-07
oe_0862868564347,+48 500 882 309,Marek Sporysz,aleja Sokola 289,Częstochowa,Poland,Rzeczoznawca samochodowy,M,1929-06-25
oe_1108486106600,+33 5 81 60 46 90,Zoé Salmon,"8, boulevard Margaux Daniel",Goetzenbruck,France,ingénieur d'affaires en génie électrique,F,1913-10-17
oe_2176801269625,+33 (0)5 64 50 73 24,Andrée Faivre,"513, rue Hoarau",Goetzenbruck,France,économe de flux,F,1984-08-16
oe_1717400345688,0739 486 573,Dumitrana Popescu,Intrarea Pavel Nemeș Nr. 860,Ploieşti,Romania,Asistent De Cercetare Economist In Relatii Economice Internationale,F,1969-04-14
oe_4737704990967,+34 987 194 565,Efraín Baró Quiroga,Urbanización de Emilia Plaza 1 Puerta 3 ,A Rúa,Spain,Cristalero,M,1910-04-15
oe_1694481440004,+33 (0)5 35 75 60 23,Michel Mathieu-Pascal,avenue Langlois,Voulangis,France,responsable de réseau eau potable,M,1972-09-08
oe_7127971763506,041729904,Dott. Manuel Giannuzzi,"Viale Petruzzi, 12 Piano 4",Moraire,Italy,Exhibition designer,M,1937-10-01
oe_7886455526151,+33 (0)3 66 05 57 05,Zacharie Mallet,"950, boulevard Clémence Da Costa",Saint-Pourçain-sur-Sioule,France,technicien chimiste,M,1917-02-28
oe_0894374812681,3839300808,Piermaria Nitto,"Stretto Dante, 0 Piano 0",Santa Croce Camerina,Italy,"Librarian, academic",M,1961-06-24
oe_5086295322307,+33 2 61 87 64 12,Patricia Blanchard,"4, boulevard de Marchal",Viroflay,France,garde à cheval,F,1929-03-26
oe_8017710629450,+49 (0) 6944 735341,Univ.Prof. Guntram Biggen B.A.,Else-Briemer-Gasse 23,Appenweier (Urloffen),Germany,Polizist,M,1947-11-04
oe_0475983589477,+49(0)6939285320,Ariane Weinhold,Jesselstraße 679,Voigtstedt,Germany,Pilot,F,1998-08-08
oe_8004587242274,(06652) 948305,Hans-Rainer Kroker-Trub,Ebertstr. 2/5,Starnberg,Germany,Erzieher,M,2010-05-16
oe_6952558767350,+34976 81 07 28,Sofía Vallejo Campoy,Pasaje de Prudencia Polo 26,La Línea de la Concepción,Spain,Director de servicios de cuidados infantiles,F,1970-01-14
oe_0554899071299,04 63 91 54 82,Michèle Étienne,"1, rue de Baudry",Bénodet,France,brodeur,F,1990-09-04
oe_1535964726847,+34 884 64 55 07,Abigaíl Escudero Gil,Via Marta Agustín 9,Catral,Spain,Músico,F,2009-08-09
oe_0979629145977,+33 3 58 60 98 59,Olivier Martel,boulevard de Morin,Vendargues,France,télévendeur,M,1924-07-31
oe_9000590545173,057185405,Dott. Alessia Rossini,"Via Maccanelli, 22 Appartamento 9",Bivigliano,Italy,Legal secretary,F,1967-06-27
oe_3987245819870,0134755380,Élise de Evrard,"66, avenue de Blanchard",Versigny,France,ingénieur aromaticien aromaticienne,F,1972-10-01
oe_5957354105772,0764 040 258,Viorel Stănescu,Drumul Preda Nr. 90 Bl. 45  Sc. 68 Ap. 872,Ploieşti,Romania,Administrator Pensiune Turistica,M,1983-11-13
oe_6472245581708,+48 883 351 424,Ernest Poleszak,pl. Bolesława Krzywoustego 66/39,Żoliborz,Poland,Aktuariusz,M,2014-05-19
oe_7947450809897,+49(0)7331 571604,Carola Junk-Kitzmann,Carstenring 7,Lüderitz,Germany,Programmierer,F,2012-06-27
oe_7505688084820,+48 532 712 633,Olga Kolonko,ul. Ceglana 29/37,Rakowice Wielkie,Poland,Leśniczy,M,1988-07-21
oe_5340388333151,+33 (0)1 77 66 48 02,Gérard Marques,"92, rue Godard",Voulangis,France,yield manager,M,1994-10-10
oe_2686650836816,+39 034340737,Michelotto Inzaghi,"Contrada Margherita, 9 Appartamento 9",Rivignano,Italy,"Nurse, adult",M,1981-05-19
oe_8750077099031,+34971211359,Marcial Marquez Moliner,Glorieta de Hugo Guzmán 6,Tuineje,Spain,Agente de bolsa,M,2016-07-19
