user_id,phone_number,name,street_address,city,country,job,sex,birthdate
oe_1680956418541,693 366 502,Antoni Budner,pl. Wiejska 658,Rajgród,Poland,Redaktor,F,1947-10-10
oe_8272913675916,+49(0)4915 32180,Arne Benthin,Hans-Hinrich-Bolander-Weg 2,Haag an der Amper,Germany,Chirurgiemechaniker,M,1966-10-08
oe_9276398523818,0251 893 632,Eric Ludovic Pop,Drumul Niță Nr. 17,Ocna Mureş,Romania,Scuturator In Si Canepa,M,1957-10-10
oe_5133059154196,0256 511 096,Romanița Eftimie,Intrarea Despina Voinea Nr. 46,Săcălaz,Romania,Consilier Diplomatic,F,1964-02-18
oe_8510021824140,+48 661 702 846,Aleks Suszko,aleja Sucharskiego 78/73,Zalewo,Poland,Prezenter,F,1988-07-14
oe_6721761898987,0832677517,Federica Tozzo,"Borgo Clelia, 38",Villa Guardia,Italy,Publishing copy,F,2005-03-02
oe_3544078967788,+48 669 221 007,pan Oliwier Brózda,plac Żeglarska 40,Zalewo,Poland,Artysta-rezydent,M,1984-05-20
oe_4903043817799,+34 981 99 24 69,Adelina Torrijos,Pasaje de Alfredo Lumbreras 411,La Zenia,Spain,Reparador de bicicletas,F,2009-02-24
oe_3842561161599,721 426 184,Lukáš Krejčí,Sitteho 8,Horní Bečva,Czech Republic,"Designer, exhibition/display",M,1965-06-12
oe_0060698826486,+49 (0) 7553 779385,Hermann Josef Römer,Bärerstr. 210,Bremen (Woltmershausen),Germany,Chirurgiemechaniker,M,1922-03-05
oe_4271832240239,+33 3 54 27 61 76,Susanne Leclercq,"5, chemin Petitjean",La Rochelle,France,informaticien industriel industrielle,F,2002-02-28
oe_9653715573105,+39 0118983183,Amadeo Fibonacci,"Viale Donna, 83 Appartamento 42",Viareggio,Italy,"Librarian, public",M,1964-11-28
oe_5875585095914,0148497236,Marcel Charpentier,"346, rue Constance Gilbert",Amiens,France,chargé de communication interne,M,1942-07-09
oe_7804704079365,+34820 875 692,Pío Lasa,Calle Perla Giménez 47 Piso 7 ,Cullar,Spain,Trabajador de explotaciones de acuicultura,M,1914-03-28
oe_9174436871638,738 621 577,Danuše Vaňková,Mírová 654,Prague (Praha 3-Žižkov),Czech Republic,Community development worker,F,1960-06-21
oe_4568939116457,03 82 76 57 66,Alfred Bonnet,"77, boulevard Benard",Berre-l'Étang,France,technicien automobile,M,1922-01-29
oe_8406548855875,+34 932 45 29 61,Silvio Agullo Expósito,Callejón Guadalupe Requena 674 Piso 8 ,Cornellà de Llobregat,Spain,Instructor de autoescuela,M,1920-02-01
oe_5663393508243,+33 3 52 25 38 14,Renée Monnier-Le Goff,rue Weiss,Ustaritz,France,responsable de fabrication en chimie,F,2000-04-25
oe_9392942702150,770 343 390,Iveta Jandová,Kostnické Náměstí 99,Opočno,Czech Republic,Retail merchandiser,F,1908-04-29
oe_7227683527808,+48 538 571 093,Józef Łuszczyk,plac Morcinka 300,Mrągowo,Poland,Architekt wnętrz,M,1959-12-06
oe_9596560033752,+49 (0) 9648 421092,Laszlo Fliegner,Massimo-Davids-Allee 5,Mannheim (Rheinau),Germany,Mathematiker,M,1970-12-26
oe_4767900782446,0669483609,Frau Karin Lorch,Anna-Luise-Langern-Weg 50,Assamstadt,Germany,Designer,F,2016-10-20
oe_3779398012201,0318520023,Joseph Henck-Hertrampf,Flantzplatz 336,Waldenburg,Germany,Altenpfleger,M,1926-06-14
